idno,country,polnews,internet,trust1,trust2,trust3,polint,trustparl,trustlegal,trustpolice,trustpols,trustparties,trusteuparl,trustun,leftright,satlife,satecon,satgov,equality,happy,unsafe,badhealth,natattach,eurattach,relig,religatt,prayer,becomeold,gender,age,marital,domicile,education,working
27,es,30,,8,8,7,4,1,1,8,0,0,2,2,7,9,0,0,2,8,3,2,9,10,0,6,6,70,1,65,,1,13,0
76,es,180,60,9,9,9,1,7,9,9,6,6,9,9,0,4,4,8,1,9,4,2,9,9,2,7,7,70,1,65,,3,10,0
182,es,60,720,6,6,4,2,1,5,7,0,0,3,3,,8,4,1,4,8,1,2,7,8,1,7,7,65,1,42,,3,19,1
234,es,120,300,8,7,2,1,6,2,3,5,5,5,5,0,8,4,5,1,10,4,3,3,8,5,7,1,70,2,40,,1,13,1
246,es,30,,5,6,7,4,4,5,6,2,2,,,3,9,6,4,2,8,2,2,7,4,6,6,5,60,2,71,5,4,8,0
254,es,0,,6,,,4,,,,,,,,,7,2,,8,7,2,4,,,7,6,2,7,2,90,5,4,,0
382,es,30,5,1,1,1,1,0,0,4,0,0,1,4,4,7,3,1,3,8,2,2,2,2,4,7,5,65,1,35,1,4,8,1
395,es,90,,8,8,8,3,9,2,2,1,1,8,8,0,10,1,5,1,10,3,3,10,10,0,7,7,65,1,68,,3,6,0
419,es,98,90,9,8,7,3,2,7,8,2,2,,,5,8,3,,2,9,2,3,6,7,5,7,2,8,2,53,6,4,12,0
438,es,30,320,7,9,5,3,4,4,6,0,0,0,5,5,7,4,0,1,9,2,2,6,6,5,7,7,86,2,31,6,4,18,0
687,es,30,,5,6,6,2,,3,9,,,,,4,6,5,7,1,5,1,4,10,0,5,4,6,68,2,69,5,4,1,0
722,es,180,180,0,5,6,1,3,3,4,2,2,3,4,2,6,0,5,1,7,4,3,5,0,5,5,1,80,2,32,6,1,,0
782,es,120,,6,8,3,1,5,0,7,7,7,7,7,6,10,10,7,3,10,8,2,10,10,10,3,5,75,2,81,5,5,7,0
815,es,300,,2,4,1,2,5,5,7,3,5,6,5,5,7,3,1,2,7,1,2,10,10,5,4,4,75,1,46,,4,8,1
884,es,120,270,5,3,0,2,0,0,8,0,0,5,0,4,10,5,0,2,10,2,3,10,5,0,7,1,65,2,72,5,3,9,0
890,es,120,480,7,3,6,1,5,8,9,4,3,5,5,5,7,3,0,4,7,2,2,9,6,2,7,7,70,1,41,,3,25,1
912,es,60,180,6,6,4,1,4,6,8,4,4,5,4,5,8,5,4,2,7,1,2,9,6,2,6,7,60,1,50,4,2,22,1
976,es,60,330,5,5,3,4,6,10,10,6,8,8,8,6,9,7,4,1,9,2,3,7,7,9,3,1,60,2,33,,3,12,0
1037,es,120,60,6,7,4,2,4,0,9,2,2,6,7,2,7,0,3,1,8,1,2,9,5,0,7,7,0,1,67,6,4,17,0
1074,es,30,600,3,5,2,3,,10,10,0,0,,,3,10,3,2,2,10,4,2,9,5,8,3,5,70,1,32,6,2,12,0
1263,es,180,,3,5,1,3,1,5,8,1,1,1,3,3,0,5,8,1,1,2,3,3,3,0,7,7,70,1,56,6,4,8,0
1369,es,30,180,2,2,2,3,0,2,5,0,0,0,0,5,8,4,0,2,8,2,2,10,5,6,6,2,70,2,41,,4,15,1
1373,es,60,600,6,2,4,3,7,9,5,3,3,,,7,6,0,0,5,10,1,1,10,8,6,5,4,70,1,28,6,3,22,0
1406,es,60,300,7,7,6,1,5,4,6,3,3,6,7,3,8,6,6,2,7,3,2,3,1,0,7,7,65,2,18,6,3,12,0
1469,es,150,120,5,5,6,2,5,5,10,1,1,5,8,3,7,4,6,1,8,2,1,10,10,0,7,7,82,2,45,,3,14,1
1473,es,180,,5,7,3,4,2,3,9,0,0,,,5,6,3,0,1,8,3,4,10,4,5,7,7,70,2,68,,5,5,0
1539,es,180,300,2,7,8,2,1,2,5,2,2,2,2,3,8,1,1,1,8,1,2,9,5,6,5,4,75,1,59,,4,15,1
1564,es,30,,5,5,5,3,8,6,7,5,5,7,7,4,7,7,6,3,8,1,2,10,10,5,7,6,55,1,68,,4,8,0
1597,es,0,60,0,7,4,4,0,0,0,0,0,0,0,,10,0,0,4,10,3,3,5,5,9,4,2,60,2,36,6,4,23,1
1603,es,60,120,5,5,5,2,5,5,7,5,5,5,5,0,7,0,5,2,7,1,2,10,5,0,7,7,50,1,57,,3,10,0
1736,es,0,,8,7,3,1,10,7,10,5,5,9,,2,6,1,4,2,8,1,3,8,9,8,4,1,60,2,62,,3,11,1
1750,es,120,300,5,7,7,4,7,5,8,5,6,6,6,6,7,5,,8,8,3,2,10,5,9,2,1,78,2,39,6,4,27,1
1766,es,60,,5,7,7,4,1,6,7,1,1,,,3,9,2,8,2,4,1,3,7,8,5,5,1,60,2,90,5,1,5,0
1775,es,90,60,8,5,1,1,9,9,9,6,4,8,8,0,7,4,2,2,7,2,3,7,6,1,7,7,65,2,48,,2,13,1
1863,es,60,120,8,10,10,2,9,9,10,8,8,10,9,8,10,9,7,2,9,1,1,8,8,6,5,2,55,2,33,,3,15,0
1893,es,30,90,5,7,5,3,0,0,0,0,1,4,5,2,7,2,2,2,8,1,2,2,2,2,7,7,70,2,36,,4,15,0
1901,es,30,,5,0,0,2,6,2,6,0,0,4,5,4,5,3,2,1,8,4,2,10,10,6,6,1,65,1,58,,3,10,1
1903,es,180,20,3,2,3,2,2,4,8,1,1,5,5,5,10,6,1,3,10,2,2,8,8,4,5,3,65,1,46,,3,10,1
1942,es,360,240,5,5,6,3,7,6,7,6,7,,,,10,6,4,5,9,2,2,8,8,2,7,7,60,1,17,6,1,14,0
2103,es,20,240,6,2,7,4,0,4,9,4,3,1,6,3,8,1,2,2,10,1,1,10,7,0,7,7,60,2,43,,3,10,0
2127,es,120,540,5,5,3,1,8,9,10,8,9,9,9,8,9,5,6,2,9,1,1,9,9,7,5,2,55,1,24,6,3,17,1
2135,es,60,,2,5,1,3,2,5,8,1,1,5,,5,4,1,2,2,5,2,3,7,5,5,3,4,75,2,,,4,6,0
2138,es,60,,7,5,8,3,5,0,9,5,5,,,7,10,6,0,4,10,1,3,10,7,8,3,1,65,2,83,,4,9,0
2153,es,1,10,5,5,5,3,0,0,0,1,0,0,0,,5,0,0,1,5,2,2,5,,0,7,7,60,2,42,6,4,16,1
2237,es,60,120,7,7,7,2,6,4,7,4,4,4,4,4,8,5,6,2,8,1,2,7,8,6,3,2,70,2,44,,4,16,1
2266,es,0,60,5,4,5,4,4,6,7,3,3,5,3,,6,4,3,2,7,2,2,5,9,6,5,1,70,2,36,,4,12,0
2284,es,30,180,7,7,5,2,2,4,4,0,0,2,4,4,8,4,3,3,7,3,2,3,3,3,6,7,78,2,41,6,3,21,1
2353,es,,,7,8,2,4,5,5,7,2,2,5,6,2,5,3,2,2,5,2,3,10,7,10,3,1,55,2,90,,4,8,0
2380,es,0,,5,5,2,4,6,5,9,0,0,,,,5,1,2,1,6,1,4,8,6,5,6,6,80,2,84,5,4,5,0
2423,es,210,60,5,5,5,3,5,6,7,5,5,5,5,5,7,6,4,2,9,2,2,8,5,6,7,6,81,2,45,,3,9,1
2437,es,60,60,2,5,4,4,5,5,7,5,5,5,5,,8,7,,8,8,2,3,7,,5,6,1,65,2,45,3,1,12,1
2470,es,30,,0,0,1,4,5,5,6,2,2,0,,4,10,5,2,2,9,2,3,9,4,5,7,7,70,2,60,,4,7,0
2511,es,120,600,5,5,3,2,5,5,5,3,3,6,7,2,7,2,2,2,8,3,1,8,10,0,7,7,67,2,23,6,4,19,1
